entropy,rt_ms
5.207689802925237e-291,764.0973213179759
-0.0,931.2192203114589
-0.0,870.5860189786014
-0.0,789.8438657116769
-0.0,970.5761969169322
-0.0,835.3819804932476
-0.0,849.1776289030644
-0.0,783.105892580066
-0.0,813.9409262469009
-0.0,681.2736866668309
-0.0,905.8555560565338
-0.0,864.3750813565716
-0.0,810.4561528470944
-0.0,803.577125985246
-0.0,818.8764573864189
-0.0,812.0853994570032
-0.0,609.5657970522716
5.212263504843519e-69,877.6770553101943
-0.0,874.4327320781434
-0.0,899.9044223736605
-0.0,868.8946631255293
0.070009505246124,895.640711101111
6.933133631589113e-54,760.8336836091346
-0.0,811.7481530785304
-0.0,765.9559731232622
-0.0,816.3728819393269
-0.0,673.0360141745764
-0.0,769.6253022125327
0.6928657780227363,1184.063470005947
-0.0,791.1691754270453
-0.0,799.2995442665265
-0.0,801.7310692926959
-0.0,773.5956929625977
-0.0,850.3433322608979
0.005337350768941569,607.2258922077322
0.6847413992195968,1152.5181081006767
-0.0,892.4390564477325
-0.0,798.7678909432749
-0.0,931.6443812138684
1.0268650413317767e-223,562.5735871333937
-0.0,815.5141736711129
-0.0,654.3716233306129
-0.0,825.2260202323005
-0.0,717.9565635034003
-0.0,817.4791138549729
-0.0,789.5026260430523
-0.0,815.7060954731944
-0.0,859.6174705155536
-0.0,825.9316200325052
-0.0,863.38863600353
-0.0,690.6110499388163
-0.0,778.2653372209764
-0.0,769.8567641371544
-0.0,673.0068317951102
-0.0,827.2307853494381
-0.0,815.5128582426465
-0.0,751.5537616411935
-0.0,765.4695941518888
-0.0,774.7836598774121
-0.0,751.7645509570666
-0.0,827.6873771068767
-0.0,879.1981981726183
-0.0,713.0878024680276
6.532593309056964e-153,784.6053425680564
-0.0,791.425566559403
-0.0,827.9453992171505
-0.0,880.5485695371233
-0.0,877.5249513567079
-0.0,840.0035921880219
-0.0,835.9642710899012
-0.0,767.2439722293864
-0.0,743.8600050329358
-0.0,695.1307550592742
-0.0,897.3605061707127
-0.0,821.8916700766621
-0.0,699.2070024256377
-0.0,932.652491696079
-0.0,734.4038188556384
-0.0,794.6587601283305
-0.0,822.7118552257751
-0.0,749.1589974244648
-0.0,785.6133214877075
-0.0,734.0278771394351
3.890041753514742e-61,701.7436908069936
-0.0,740.9509955823227
-0.0,853.2698241241823
-0.0,720.1177112374407
-0.0,883.8768268764625
-0.0,850.3098155007799
-0.0,916.6487296612202
-0.0,725.6872815694858
-0.0,724.5922915151626
-0.0,769.9538219356353
-0.0,698.7918545197291
-0.0,785.6750611430964
-0.0,797.1042837360759
-0.0,621.5672179379981
-0.0,741.051739989442
-0.0,669.7018173315026
-0.0,712.3193144871736
-0.0,863.5907898453593
3.16841845573883e-158,855.6568159530796
-0.0,756.4225855653156
-0.0,698.3954060191737
-0.0,835.9023122969727
-0.0,879.3204403718457
-0.0,788.7565179443461
-0.0,823.8285973635767
-0.0,734.7606740380711
-0.0,850.4877411675021
-0.0,792.8044362178854
-0.0,861.80796456057
-0.0,833.7800171648078
-0.0,710.6957101609821
-0.0,777.9577335992159
-0.0,847.9730762562345
-0.0,802.4018501605959
-0.0,952.3112839981904
2.236166332224215e-277,777.6799620002746
-0.0,751.721937218572
-0.0,755.3556010971798
-0.0,932.0567248109877
-0.0,776.5987101973882
-0.0,749.092779780867
-0.0,779.6226174658053
0.6474221661414614,1165.6079690797287
-0.0,797.5105278222042
-0.0,813.2347874724173
-0.0,862.9912680834799
-0.0,784.5917787042268
-0.0,788.0718483028328
-0.0,763.694198467032
-0.0,751.665285269899
-0.0,910.1574676593702
-0.0,832.4090525568101
-0.0,829.8845584356628
-0.0,841.9002330931462
-0.0,817.466828012431
-0.0,808.6701020190827
-0.0,833.895114311642
-0.0,774.6628479238847
-0.0,780.3077670472608
-0.0,812.1903221817212
-0.0,883.8340248361874
